Date,C4Super,C4Medium,Bulog
2021-01-04,11750.0,10667.0,9083.0
2021-01-05,11750.0,10667.0,9083.0
2021-01-06,11750.0,10667.0,9083.0
2021-01-07,11750.0,10667.0,9083.0
2021-01-08,11750.0,10667.0,9083.0
2021-01-09,11750.0,10667.0,9083.0
2021-01-10,11750.0,10667.0,9083.0
2021-01-11,11750.0,10667.0,9083.0
2021-01-12,11750.0,10667.0,9083.0
2021-01-13,11750.0,10667.0,9083.0
2021-01-14,11750.0,10667.0,9083.0
2021-01-15,11750.0,10667.0,9083.0
2021-01-16,11750.0,10667.0,9083.0
2021-01-17,11750.0,10667.0,9083.0
2021-01-18,11750.0,10667.0,9083.0
2021-01-19,11750.0,10667.0,9083.0
2021-01-20,11750.0,10667.0,9083.0
2021-01-21,11750.0,10667.0,9083.0
2021-01-22,11750.0,10667.0,9083.0
2021-01-23,11750.0,10667.0,9083.0
2021-01-24,11750.0,10667.0,9083.0
2021-01-25,11750.0,10667.0,9083.0
2021-01-26,11750.0,10667.0,9083.0
2021-01-27,11750.0,10667.0,9083.0
2021-01-28,11750.0,10667.0,9083.0
2021-01-29,11750.0,10667.0,9083.0
2021-01-30,11750.0,10667.0,9083.0
2021-01-31,11750.0,10667.0,9083.0
2021-02-01,11750.0,10667.0,9083.0
2021-02-02,11750.0,10667.0,9083.0
2021-02-03,11750.0,10667.0,9083.0
2021-02-04,11750.0,10667.0,9083.0
2021-02-05,11750.0,10667.0,9083.0
2021-02-06,11750.0,10611.333333333334,9083.0
2021-02-07,11750.0,10555.666666666666,9083.0
2021-02-08,11750.0,10500.0,9083.0
2021-02-09,11750.0,10500.0,9083.0
2021-02-10,11750.0,10500.0,9083.0
2021-02-11,11750.0,10500.0,9083.0
2021-02-12,11750.0,10500.0,9083.0
2021-02-13,11750.0,10500.0,9083.0
2021-02-14,11750.0,10500.0,9083.0
2021-02-15,11750.0,10500.0,9083.0
2021-02-16,11750.0,10500.0,9083.0
2021-02-17,11750.0,10500.0,9083.0
2021-02-18,11750.0,10500.0,9083.0
2021-02-19,11750.0,10500.0,9083.0
2021-02-20,11750.0,10500.0,9083.0
2021-02-21,11750.0,10500.0,9083.0
2021-02-22,11750.0,10500.0,9083.0
2021-02-23,11750.0,10500.0,9083.0
2021-02-24,11750.0,10500.0,9083.0
2021-02-25,11750.0,10500.0,9083.0
2021-02-26,11750.0,10500.0,9083.0
2021-02-27,11750.0,10500.0,9083.0
2021-02-28,11750.0,10500.0,9083.0
2021-03-01,11750.0,10500.0,9083.0
2021-03-02,11750.0,10667.0,9083.0
2021-03-03,11583.0,10583.0,9083.0
2021-03-04,11583.0,10583.0,9083.0
2021-03-05,11583.0,10583.0,9083.0
2021-03-06,11638.666666666666,10499.666666666666,9083.0
2021-03-07,11694.333333333334,10416.333333333334,9083.0
2021-03-08,11750.0,10333.0,9083.0
2021-03-09,11750.0,10500.0,9083.0
2021-03-10,11750.0,10500.0,9083.0
2021-03-11,11750.0,10500.0,9083.0
2021-03-12,11750.0,10500.0,9083.0
2021-03-13,11750.0,10444.333333333334,9083.0
2021-03-14,11750.0,10388.666666666666,9083.0
2021-03-15,11750.0,10333.0,9083.0
2021-03-16,11750.0,10333.0,9083.0
2021-03-17,11750.0,10333.0,9083.0
2021-03-18,11750.0,10333.0,9083.0
2021-03-19,11750.0,10333.0,9083.0
2021-03-20,11750.0,10333.0,9083.0
2021-03-21,11750.0,10333.0,9083.0
2021-03-22,11750.0,10333.0,9083.0
2021-03-23,11750.0,10417.0,9083.0
2021-03-24,11750.0,10417.0,9083.0
2021-03-25,11750.0,10417.0,9083.0
2021-03-26,11750.0,10417.0,9083.0
2021-03-27,11750.0,10417.0,9111.0
2021-03-28,11750.0,10417.0,9139.0
2021-03-29,11750.0,10417.0,9167.0
2021-03-30,11500.0,10250.0,9167.0
2021-03-31,11500.0,10250.0,9167.0
2021-04-01,11667.0,10417.0,9167.0
2021-04-02,11667.0,10417.0,9167.0
2021-04-03,11694.666666666666,10417.0,9139.0
2021-04-04,11722.333333333334,10417.0,9111.0
2021-04-05,11750.0,10417.0,9083.0
2021-04-06,11667.0,10250.0,8917.0
2021-04-07,11667.0,10250.0,9000.0
2021-04-08,11833.0,10417.0,9000.0
2021-04-09,11833.0,10417.0,9000.0
2021-04-10,11888.666666666666,10611.333333333334,9055.666666666666
2021-04-11,11944.333333333334,10805.666666666666,9111.333333333334
2021-04-12,12000.0,11000.0,9167.0
2021-04-13,12000.0,11000.0,9167.0
2021-04-14,12000.0,11000.0,9167.0
2021-04-15,12000.0,11000.0,9167.0
2021-04-16,12000.0,11000.0,9167.0
2021-04-17,11972.333333333334,10861.0,9167.0
2021-04-18,11944.666666666666,10722.0,9167.0
2021-04-19,11917.0,10583.0,9167.0
2021-04-20,11917.0,10583.0,9167.0
2021-04-21,11833.0,10583.0,9167.0
2021-04-22,11833.0,10583.0,9167.0
